Item,Total Price,Unit Price,Date
Dark scroll for Bow for ATT 30%,"120,000,000","120,000,000",2025-07-14
Dark scroll for Cape for DEX 30%,"55,555,555","55,555,555",2025-06-28
Dark scroll for Cape for LUK 30%,"22,222,222","22,222,222",2025-07-05
Dark scroll for Cape for STR 70%,"6,200,000","3,100,000",2025-07-06
Dark scroll for Cape for STR 70%,"3,100,000","3,100,000",2025-07-06
Dark scroll for Cape for STR 70%,"3,111,111","3,111,111",2025-07-06
Dark scroll for Cape for STR 70%,"3,600,000","3,600,000",2025-06-29
Dark scroll for Cape for STR 70%,"3,600,000","3,600,000",2025-06-29
Dark scroll for Cape for STR 70%,"3,250,000","3,250,000",2025-06-28
Dark scroll for Cape for STR 70%,"3,250,000","3,250,000",2025-06-28
Dark scroll for Cape for STR 70%,"9,866,664","3,288,888",2025-06-28
Dark scroll for Cape for STR 70%,"9,866,664","3,288,888",2025-06-28
Dark scroll for Cape for STR 70%,"3,300,000","3,300,000",2025-06-28
Dark scroll for Cape for STR 70%,"3,300,000","3,300,000",2025-06-28
Dark scroll for Cape for STR 70%,"7,200,000","3,600,000",2025-06-28
Dark scroll for Capefor STR 70%,"7,200,000","3,600,000",2025-06-28
Dark scroll for Crossbow for ATT 30%,"55,900,000","55,900,000",2925-07-06
Dark scroll for Crossbow for ATT 30%,"59,555,555","59,555,555",2025-07-07
Dark scroll for Crossbow for ATT 30%,"59,888,888","59,888,888",2025-07-07
Dark scroll for Crossbow for ATT 30%,"55,000,000","55,000,000",2025-07-06
Dark scroll for Crossbow for ATT 30%,"55,999,999","55,999,999",2025-07-06
Dark scroll for Crossbow for ATT 30%,"57,777,777","57,777,777",2025-07-05
Dark scroll for Crossbow for ATT 30%,"58,777,777","58,777,777",2025-07-03
Dark scroll for Dagger for ATT 70%,"8,000,000","8,000,000",2025-07-15
Dark scroll for Dagger for ATT 70%,"9,222,222","9,222,222",2025-07-15
Dark scroll for Dagger for ATT 70%,"9,400,000","9,400,000",2025-07-15
Dark scroll for Dagger for ATT 70%,"9,555,555","9,555,555",2025-07-15
Dark Scroll for Earring for DEX 70%,"57,777,774","28,888,887",2025-07-06
Dark Scroll for Earring for DEX 70%,"28,888,888","28,888,888",2025-07-06
Dark Scroll for Earring for DEX 70%,"57,999,998","28,999,999",2025-07-06
Dark Scroll for Earring for DEX 70%,"69,600,000","34,800,000",2025-06-30
Dark Scroll for Earring for DEX 70%,"69,600,000","34,800,000",2025-06-30
Dark Scroll for Earring for DEX 70%,"34,888,888","34,888,888",2025-06-29
Dark Scroll for Earring for DEX 70%,"34,888,888","34,888,888",2025-06-29
Dark Scroll for Earring for DEX 70%,"34,999,999","34,999,999",2025-06-29
Dark Scroll for Earring for DEX 70%,"34,999,999","34,999,999",2025-06-29
Dark Scroll for Earring for DEX 70%,"35,000,000","35,000,000",2025-06-29
Dark Scroll for Earring for DEX 70%,"35,000,000","35,000,000",2025-06-29
Dark Scroll for Earring for DEX 70%,"35,777,777","35,777,777",2025-06-29
Dark Scroll for Earring for DEX 70%,"35,777,777","35,777,777",2025-06-29
Dark Scroll for Earring for DEX 70%,"36,333,333","36,333,333",2025-06-29
Dark Scroll for Earring for DEX 70%,"35,500,000","35,500,000",2025-06-28
Dark Scroll for Earring for DEX 70%,"35,500,000","35,500,000",2025-06-28
Dark Scroll for Earring for DEX 70%,"72,222,222","36,111,111",2025-06-28
Dark Scroll for Earring for DEX 70%,"33,999,999","33,999,999",2025-06-27
Dark Scroll for Earring for DEX 70%,"35,888,888","35,888,888",2025-06-27
Dark Scroll for Earring for DEX 70%,"35,888,888","35,888,888",2025-06-27
Dark Scroll for Earring for DEX 70%,"36,477,777","36,477,777",2025-06-27
Dark Scroll for Helmet for DEF 70%,"1,800,000","600,000",2025-06-30
Dark Scroll for Helmet for DEF 70%,"1,800,000","600,000",2025-06-30
Dark scroll for One-Handed Axe for ATT 70%,"399,999","399,999",2025-07-15
Dark scroll for One-Handed Sword for ATT 70%,"888,888","888,888",2025-07-06
Dark scroll for One-Handed Sword for ATT 70%,"999,999","999,999",2025-07-05
Dark Scroll for Pendant for LUK 30%,"259,999,999","259,999,999",2025-07-13
